"","products_sold","product_category","quality","satisfaction","discount","retail_price","perc_physical","market_size"
"182",136326,"health","off_brand",4.3,11,14,68.9,1882
"183",128552,"toys","off_brand",3.8,1,19,51.6,2063
"184",223933,"food","off_brand",4.6,7,16,60.5,2303
"185",185577,"food","premium",4.8,9,7,21.4,926
"186",145454,"toys","off_brand",4.6,9,29,47.5,1093
"187",75030,"health","off_brand",3.7,7,18,68.6,898
"188",174896,"food","off_brand",4.3,5,11,37,1820
"189",69009,"toys","premium",3.4,12,23,20.8,1055
"190",77556,"food","off_brand",3.5,2,30,55.3,914
"191",144496,"other","off_brand",3.7,1,17,65.2,2774
"192",78887,"health","premium",4.1,5,15,75.7,815
"193",157113,"health","off_brand",3.4,175,23,67.8,2765
"194",107914,"health","off_brand",3.5,6,18,36.2,1395
"195",82498,"health","premium",3.5,2,16,60.7,2033
"196",230907,"health",NA,4.2,5,NA,28.6,3269
"197",157156,"health",NA,4.4,16,25,22.3,2017
"198",74906,"toys","premium",4.3,4,11,45.6,1002
"199",172272,"health","off_brand",4.8,9,21,26.4,2356
"200",54201,"health","premium",4.4,4,23,5,866
"201",168160,"toys","off_brand",4.1,6,NA,49.1,2893
"202",123752,"toys","off_brand",4.1,5,22,53.5,1920
"203",161783,"health","premium",3.6,12,9,7.6,2989
"204",115092,"toys","off_brand",4.3,2,19,63.7,956
"205",172699,"health","premium",4.8,3,3,24.3,1875
"206",191874,"toys","off_brand",4.4,4,28,58.6,3285
"207",182692,"toys","off_brand",3.3,4,15,60.1,3378
"208",214843,"health","off_brand",4.8,7,17,51.4,2270
"209",179732,"health","off_brand",3.6,8,8,54,3222
"210",167576,"toys","off_brand",4.8,8,27,56,1741
"211",216509,"health","premium",4.5,5,17,70.4,2832
"212",106472,"toys","off_brand",4.4,9,10,76.4,1379
"213",174122,"other","off_brand",3.6,12,20,43.7,2967
"214",215456,"other","off_brand",4.7,4,17,27,2805
"215",167868,"health","off_brand",4.7,7,21,48.9,986
"216",175072,"other","premium",3,9,20,67.9,3778
"217",60956,"toys","premium",4.3,2,28,52.1,1336
"218",130944,"health","off_brand",4.1,4,12,17.5,2434
"219",77647,"health","off_brand",3.4,6,10,34.5,1115
"220",140467,"toys","premium",3.1,4,2,66.8,2287
"221",172129,"health","off_brand",4.5,7,23,66.6,2046
"222",111758,"other","premium",4.3,10,23,28.1,1053
"223",265448,"food","premium",3.5,4,30,11.6,4891
"224",173742,"health","premium",4.5,16,21,65.2,2013
"225",79322,"health","off_brand",3.6,2,NA,39,1372
"226",134928,"other","premium",4.8,4,21,61.2,1046
"227",131963,"toys","off_brand",4.6,13,29,43.4,887
"228",80034,"other","off_brand",3.9,8,26,38,1029
"229",98069,"toys","off_brand",2,8,25,90.7,1085
"230",170442,"health","off_brand",4.3,13,22,39.4,2139
"231",145922,"toys","premium",4.6,12,12,38.9,1152
"232",132148,"health","off_brand",4.6,18,25,34.6,713
"233",96109,"other","premium",4,6,10,26.6,686
"234",221688,"health","premium",3.8,22,22,29.4,3587
"235",140282,"toys","off_brand",3.2,14,20,58.6,2321
"236",160080,"health","off_brand",4.7,13,18,62.7,504
"237",97632,"other","premium",3.7,3,4,88.1,1420
"238",186291,"health","off_brand",3.8,201,12,72.7,2829
"239",141436,"toys","off_brand",4.2,22,NA,49.7,906
"240",151845,"toys","premium",4.2,11,20,52.1,2275
"241",151668,"toys","premium",4.4,8,25,55,2355
"242",105262,"health","premium",4.5,1,17,5,875
"243",155624,"toys",NA,4.7,6,18,25.4,2320
"244",201258,"health","off_brand",4.7,15,29,45.7,1115
"245",183613,"toys","premium",4.3,8,30,81.8,2581
"246",162708,"health","off_brand",4.5,7,NA,70.8,1121
"247",137883,"toys","off_brand",4.2,4,34,72.1,2284
"248",103121,"food","premium",4.1,12,13,23.4,953
"249",191737,"toys","off_brand",4.9,6,16,24.3,909
"250",111823,"toys","off_brand",4.3,3,NA,68.5,1027
"251",174497,"health","off_brand",4.4,7,24,48.3,2106
"252",161297,"food","off_brand",4.1,4,14,26.7,1951
"253",126824,"toys","premium",4.7,8,28,26.3,1241
"254",124538,"toys","premium",3.8,2,26,58,2122
"255",201070,"toys","off_brand",4.7,2,15,33.6,3107
"256",158583,"health","off_brand",2.8,1,22,36.8,3530
"257",230316,"food","off_brand",4.6,6,26,73,3208
"258",201871,"health","off_brand",4,18,25,26.6,3197
"259",115491,"toys","off_brand",4.2,6,32,70.1,2184
"260",78936,"health","premium",3.5,6,12,21.1,862
"261",190592,"health","premium",4.4,6,19,25.7,3119
"262",179849,"health","off_brand",4.3,3,24,42.3,2770
"263",90183,"toys","off_brand",3.4,8,24,70.1,638
"264",158271,"health","premium",3.8,15,27,53,2555
"265",238597,"food","off_brand",4.1,20,27,57.1,2719
"266",130684,"health","premium",3.9,1,32,66.9,2447
"267",170482,"food","off_brand",4.7,8,34,56.4,1157
"268",209891,"health","off_brand",4.7,214,15,53.1,2840
"269",112386,"health","premium",4.7,7,17,37.6,1262
"270",151974,"health","premium",4.9,5,NA,33.9,834
"271",111375,"health","premium",4.3,6,24,50.5,1887
"272",82322,"health","premium",2.3,7,NA,40.6,880
"273",194959,"toys","premium",4.8,7,20,57.4,3026
"274",19777,"toys","premium",3.3,2,16,59.4,847
"275",129386,"health","off_brand",4.5,18,3,54.8,1229
"276",147197,"toys","off_brand",4.1,2,23,43.6,2503
"277",145920,"toys","off_brand",3.7,4,13,47.6,2916
"278",146537,"other","premium",4,11,19,65.2,1941
"279",134753,"toys","premium",4.3,7,9,64,847
"280",106018,"toys","off_brand",4,1,33,64.4,2025
"281",143792,"food","off_brand",4.6,3,23,71.3,856
"282",179443,"food","off_brand",4.1,8,NA,31,2279
"283",46469,"other","off_brand",3,2,23,56.1,1484
"284",62057,"toys","premium",2.9,11,15,57.2,1309
"285",56639,"toys","premium",3,8,11,NA,670
"286",98767,"food","off_brand",3.7,10,11,35.4,1172
"287",223161,"toys","premium",4.8,10,13,29.1,2336
"288",190750,"toys","premium",4.4,4,NA,76.5,3378
"289",96657,"health","premium",3.8,12,25,43.2,845
"290",253866,"health","off_brand",4.8,5,28,30,3098
"291",134448,"toys","premium",3.3,14,13,69.7,2583
"292",144480,"toys","off_brand",4.8,18,16,61.4,721
"293",96338,"toys","off_brand",3.5,8,26,NA,1934
"294",102032,"other","off_brand",4,12,24,48.3,1029
"295",181945,"health","off_brand",4.2,14,26,57.5,2326
"296",87428,"food","premium",3.3,16,23,20.5,1072
"297",224862,"toys","premium",4.8,17,29,38.5,2100
"298",78006,"health","premium",3.9,2,37,46.3,731
"299",161801,"toys","premium",3.9,2,15,44,2842
"300",251717,"health","off_brand",4.8,13,11,75.3,2312
"301",212908,"food",NA,4.7,2,27,69.6,2709
"302",56935,"health","premium",3.2,2,17,20.5,603
"303",204621,"other","premium",4.2,5,22,5,3458
"304",200866,"health","off_brand",4.2,11,20,71.8,2428
"305",72749,"toys","premium",3.2,9,29,41.5,1641
"306",83270,"health","off_brand",3.8,4,23,64,1817
"307",135531,"toys","off_brand",4.2,1,13,30.9,2995
"308",99505,"toys","premium",4.3,8,11,60,1194
"309",195742,"toys","premium",4.1,12,33,5,3046
"310",118896,"health","premium",4.7,1,18,43.6,1346
"311",48265,"toys","off_brand",3.6,10,23,69.8,632
"312",155643,"health","off_brand",4.8,5,27,51,1751
"313",134165,"toys","off_brand",4.2,8,NA,74.4,2314
"314",111315,"toys","off_brand",3.7,6,6,37.2,1205
"315",137551,"toys","off_brand",4.5,4,22,82.3,1150
"316",206439,"health","premium",3.7,13,6,51.2,2682
"317",120551,"food","off_brand",3.7,6,20,41.1,935
"318",95812,"toys","off_brand",4.1,1,13,113.3,1001
"319",95656,"food","off_brand",4,5,27,43.4,810
"320",134760,"toys",NA,3.1,14,9,10.9,1361
"321",173959,"health","premium",4.8,13,32,11.3,2098
"322",87658,"toys","premium",4.6,3,20,103,687
"323",90595,"toys","off_brand",3.1,11,9,107.5,764
"324",188780,"health","off_brand",4,4,19,31,2897
"325",72728,"health","off_brand",2.9,2,35,43.6,1036
"326",165841,"other","premium",4.3,9,29,5,2542
"327",155914,"food","premium",4.7,6,14,32.4,1260
"328",121273,"toys","premium",4.5,1,11,47.4,1509
"329",239306,"health","off_brand",4.4,6,30,61.2,2929
"330",132527,"health","premium",4.6,2,11,22.6,1308
"331",84358,"health","premium",2.3,8,10,23.1,925
"332",196312,"health","off_brand",4.3,11,24,57.1,2693
"333",93778,"toys","premium",4.2,13,24,37.2,861
"334",116482,"food",NA,3.2,2,26,44.6,2001
"335",192073,"health",NA,4.1,3,11,57.8,3048
"336",98783,"toys","off_brand",4.3,10,17,20.7,989
"337",140971,"toys","off_brand",3.5,5,30,74.8,2821
"338",267011,"food","off_brand",4.5,5,29,45,4098
"339",191794,"health",NA,4.6,16,15,6.8,2438
"340",138836,"food",NA,4.2,10,18,32.1,845
"341",105325,"health","off_brand",4.6,6,25,22,881
"342",121648,"toys","off_brand",3.7,9,NA,60,2239
"343",182502,"toys","off_brand",4.5,6,18,50.5,2253
"344",111159,"toys","premium",3.8,3,25,61.6,2218
"345",120839,"health","off_brand",3.1,18,17,47.5,1442
"346",198812,"health","premium",4.8,2,14,29.8,1284
"347",82676,"health","premium",4.6,4,27,55.9,893
"348",215338,"health","off_brand",4.5,17,18,50.5,2643
"349",192833,"toys","off_brand",4.1,12,11,70.2,2747
"350",122895,"health","off_brand",3.1,3,1,51.4,2095
"351",159925,"health","off_brand",4.5,7,20,41.8,2070
"352",88292,"toys","off_brand",4.6,3,26,21.7,857
"353",149052,"food","premium",4.3,4,26,53,1913
"354",145537,"toys","off_brand",4.9,9,18,69.6,1209
"355",135758,"toys",NA,4.5,6,24,85.6,999
"356",130247,"food","off_brand",3.7,2,18,34.2,1491
"357",206281,"health","off_brand",4.1,2,21,6.8,3409
"358",108727,"toys","premium",4.4,6,23,77.8,1377
"359",193158,"toys","premium",3.7,5,15,29.1,4804
"360",163891,"health","premium",4.3,10,25,29.1,2235
"361",109617,"food","off_brand",3.7,14,28,31.5,1221
"362",225054,"health","off_brand",4.6,3,17,37.8,2854
"363",163269,"toys","premium",4.2,3,26,72.8,3114
"364",126357,"health","off_brand",4.4,7,28,29.6,950
"365",42981,"toys","off_brand",3.3,10,14,76.3,895
"366",118385,"toys","off_brand",4,8,31,39,2626
"367",148040,"food","off_brand",4.5,7,31,86,1110
"368",72776,"other","off_brand",3.7,2,NA,42.3,1165
"369",82905,"health",NA,4.3,4,30,45.6,864
"370",125392,"health","off_brand",4.5,8,27,70.7,2469
"371",143317,"health","off_brand",4.3,5,30,44.9,2202
"372",129494,"health","off_brand",4.6,4,12,62.9,732
"373",97775,"toys","off_brand",4,9,NA,78.8,818
"374",189055,"health","premium",4.3,5,21,45.7,2376
"375",139951,"health","off_brand",3.8,3,19,71.4,1987
"376",238988,"health","off_brand",4.9,7,27,46.9,2524
"377",60327,"health",NA,3.8,13,16,65.6,819
"378",154338,"other","premium",4.2,9,10,38,2686
"379",128218,"toys","premium",3.5,8,14,67.6,2978
"380",170775,"food","off_brand",4.2,4,21,74.2,1940
"381",149127,"health","premium",4.2,6,19,54.6,2373
"382",91533,"toys","premium",4.1,19,10,64.5,775
"383",287366,"toys","off_brand",4.7,14,24,100.2,4014
"384",160040,"toys","off_brand",4,1,11,65,2220
"385",202672,"health","premium",4.1,11,32,88,3957
"386",187718,"health","off_brand",4.3,15,23,54.7,2650
"387",130432,"health","premium",3.9,5,25,33.8,2260
"388",154583,"toys","premium",4.2,8,34,108.7,2786
"389",225614,"food","off_brand",4.9,3,30,54.2,2884
"390",151772,"food","off_brand",4.5,6,27,48.8,1680
"391",153870,"health","off_brand",4.6,11,24,43.1,1075
"392",56267,"toys","off_brand",3.9,5,12,69.7,1299
"393",190804,"toys","off_brand",4.7,6,NA,68.2,2245
"394",114597,"other","premium",3.2,7,NA,9.6,2042
"395",113503,"health","off_brand",3.7,9,22,61.7,1202
"396",214396,"health","off_brand",4.4,12,25,35.5,3390
"397",158948,"toys","premium",3.8,2,17,78.5,2938
"398",165506,"toys","off_brand",3.8,15,15,43.6,2663
"399",106754,"toys","off_brand",4.1,2,13,34.2,675
"400",128281,"toys","premium",4.9,2,25,72.4,771
"401",233480,"toys","off_brand",4.8,6,22,92.4,2377
"402",108731,"health","off_brand",3.4,8,26,55.6,1762
"403",102980,"toys","off_brand",2.4,9,26,68.1,2428
"404",153133,"health","off_brand",3.9,8,20,52,2890
"405",130461,"toys","off_brand",3.9,17,29,69.8,1856
"406",57256,"toys","premium",4,2,15,64,964
"407",125997,"health","off_brand",4.3,2,20,55.3,2067
"408",143073,"toys","premium",4.9,2,27,45.2,1095
"409",98520,"other",NA,3.8,7,7,74.6,1265
"410",202107,"health","off_brand",4.3,11,18,33.8,2480
"411",113452,"health","off_brand",4.5,2,24,60.3,895
"412",108579,"other","premium",4.6,4,31,59,940
"413",236536,"health","off_brand",4.6,10,21,63.5,2745
"414",223922,"health","off_brand",4.3,8,29,49.3,3506
"415",75287,"toys","premium",4.5,4,12,48.2,954
"416",211748,"food","premium",4.9,10,22,61.2,1260
"417",108391,"toys","premium",3.7,8,25,38.2,2217
"418",32530,"toys","premium",3.4,6,24,87.7,978
"419",65825,"health","premium",4,12,16,46.9,685
"420",92592,"toys","premium",3.1,7,NA,39,1712
"421",173889,"health",NA,2.6,17,22,NA,2727
"422",161155,"toys","off_brand",3.9,8,23,90.4,2966
"423",148423,"food","off_brand",4.5,5,28,59.8,974
"424",160239,"health","off_brand",3.7,6,13,50.2,3293
"425",83990,"health","premium",3.6,5,16,5,1204
"426",263951,"health","off_brand",4.6,5,33,66.7,3597
"427",130316,"other","premium",4.1,4,11,46.6,1173
"428",111540,"other","off_brand",4.1,11,26,63.2,673
"429",220287,"toys","premium",4.7,9,26,60.2,3429
"430",169258,"health","premium",4.8,3,36,55.2,1988
"431",158734,"health","premium",4.5,5,35,54.1,1709
"432",139606,"health","off_brand",4.5,9,15,56.9,950
"433",101331,"toys","off_brand",3.7,9,14,44.1,1210
"434",110443,"other","premium",4.2,11,25,48,1081
"435",114212,"toys","off_brand",4.4,10,6,29.9,811
"436",159632,"toys","off_brand",4.4,3,8,63.8,2112
"437",134516,"food","off_brand",4.5,4,30,71.2,688
"438",97405,"other","premium",3.9,6,5,5,789
"439",148306,"health","off_brand",4.5,1,25,26.4,2484
"440",276065,"other","premium",4.7,12,15,58.6,4027
"441",248204,"health","off_brand",4.7,9,23,55.5,3281
"442",36916,"other","premium",4.2,7,17,46.2,487
"443",140450,"health","off_brand",3.2,27,NA,75.2,1061
"444",209276,"food",NA,4.6,4,20,48.3,2928
"445",188220,"health","premium",4.4,7,25,24.4,2445
"446",118832,"toys","off_brand",4.4,14,16,50.4,921
"447",120384,"health",NA,4.2,5,23,61.9,1369
"448",201214,"health","premium",4.4,30,19,27.9,2797
"449",152865,"other","off_brand",3.8,13,19,47.9,2341
"450",57599,"health","premium",3.4,5,10,13.6,1077
"451",110026,"other","premium",4.4,15,14,58.9,1000
"452",181935,"health","off_brand",4.9,7,15,7.6,935
"453",146720,"health","premium",4.4,13,17,65.3,1492
"454",192091,"health","premium",4.4,8,17,62.1,2975
"455",94437,"toys","off_brand",3.6,14,14,54.7,755
"456",207044,"food","off_brand",4.5,1,26,55.9,2309
"457",179866,"food","off_brand",4.8,11,15,38.2,1210
"458",96794,"health","off_brand",3.7,9,18,48.6,1905
"459",172548,"toys","off_brand",4.5,5,16,63.9,2826
"460",174484,"health","premium",4.6,9,11,NA,2129
"461",142772,"health","off_brand",4.2,6,15,17.9,2308
"462",123830,"toys",NA,4.1,1,21,31.8,2933
"463",189390,"other","off_brand",4.5,10,25,45.3,2518
"464",167587,"food","premium",4.1,5,18,8.9,1303
"465",240844,"toys","off_brand",4.6,14,11,80.1,3115
"466",124429,"toys","off_brand",4.6,1,25,38.9,1600
"467",168855,"toys","off_brand",3.5,21,30,75.3,3009
"468",134633,"other","off_brand",4.1,16,13,64.6,1004
"469",214094,"toys","premium",4.7,11,25,80.5,3400
"470",135006,"other","off_brand",3.8,10,23,28.7,1425
"471",148185,"food","off_brand",2.5,1,NA,45.9,3426
"472",165033,"toys","off_brand",4.4,9,24,68.7,2397
"473",133098,"health","premium",4.3,3,19,5,2383
"474",165254,"food","premium",3.5,4,20,44.9,2996
"475",158407,"health","premium",3.9,14,22,26.6,2968
"476",80601,"health","off_brand",3,5,23,40.9,969
"477",157156,"toys","off_brand",3.3,10,14,53.5,3593
"478",94425,"health","off_brand",3.7,13,23,NA,896
"479",104223,"health","off_brand",3.9,5,18,62.4,2644
"480",68692,"health","premium",3.6,10,26,16.9,1017
"481",176486,"health","off_brand",3.7,9,NA,NA,3124
"482",240618,"food","off_brand",4.7,2,27,82.7,2558
"483",189776,"health","off_brand",3.2,11,21,49.2,2488
"484",154728,"toys","off_brand",4.5,5,10,40.4,578
"485",158826,"toys","off_brand",4.1,22,29,79.1,1220
"486",111250,"health","off_brand",4.1,8,13,23.8,1966
"487",129387,"toys",NA,4.2,11,23,38.1,1941
"488",127790,"food","off_brand",4.6,5,17,116.7,1429
"489",163626,"health","off_brand",4.8,8,21,58.5,1103
"490",160802,"toys",NA,4.8,5,21,NA,2248
"491",246286,"food","off_brand",4.9,6,16,20.7,1776
"492",190620,"toys","premium",4.5,10,20,27.6,2178
"493",206803,"food","off_brand",4.4,8,28,115.6,2468
"494",138790,"food","premium",4.9,10,37,38.4,792
"495",200338,"food","off_brand",4.7,6,24,55.3,1819
"496",189820,"health","off_brand",4.5,9,15,29.6,996
"497",192532,"health","off_brand",4.7,3,20,66.3,2195
